fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220927 231117	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1509	TRUE	700429	0.00568596007684089	0.713819679849247	7565	378	8497	27090000	38
20220927 231631	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	734	TRUE	700429	0.00516890307482874	0.726252345750223	1099	766	8830	27220000	39
20220927 231726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142	TRUE	700429	0.0641315088940067	0.49822791063503	1675	200	8192	27060000	40
20220927 231854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	700429	0.0296155099257404	0.501334665085952	1444	411	8335	27570000	41
20220927 232730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1698	TRUE	700429	0.0056921457645833	0.494697485901218	2103	328	8256	27330000	42
20220927 232852	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	158	TRUE	700429	0.0313171451733786	0.496474711580005	1015	320	7972	27420000	43
20220927 232950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	700429	0.0308431701214445	0.706659384782742	2161	355	8685	27030000	44
20220927 233106	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	268	TRUE	700429	0.0368952949971944	0.506512473599344	7938	326	8562	27120000	45
20220927 233526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1215	TRUE	700429	0.00508014260667273	0.786619470562429	7641	909	8851	26940000	46
20220927 233627	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	149	TRUE	700429	0.0294558406722779	0.736495466590774	1764	1024	8946	27470000	47
20220927 233731	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	179	TRUE	700429	0.0302102683098517	0.799996189334336	2016	893	8991	27140000	48
20220927 233835	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	700429	0.0369340362356906	0.503560544008816	1535	1024	8195	27610000	49
20220927 233952	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	128	TRUE	700429	0.0339543292502933	0.50468071602901	1882	763	8222	27720000	50
20220927 234142	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	234	TRUE	700429	0.0339836757008935	0.517674419026146	1901	822	8409	27750000	51
