fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221021 200759	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	605	1	1	1	0.1	50	0.5	FALSE	102191	0.0272289010314819	0.536908933708619	1030	642	0.0156254087955966	9580	2.9e+07	24
20221021 201859	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	400	1	1	1	0.1	50	0.5	FALSE	102191	0.033418430494103	0.562711927523728	31	627	3.80870331693575e-05	9022	29636000	25
20221021 202406	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	365	1	1	1	0.1	50	0.5	FALSE	102191	0.068674453144876	0.570067765893234	12	632	7.23216379696724e-06	8870	26500000	26
20221021 203108	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	320	1	1	1	0.1	50	0.5	FALSE	102191	0.0313272452003466	0.595768714459043	22	628	0.000122816059888932	8480	28400000	27
20221021 203345	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	270	1	1	1	0.1	50	0.5	FALSE	102191	0.0813259253593895	0.466511773177516	5451	95	0.0463666963425825	9349	28262000	28
20221021 203607	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	166	1	1	1	0.1	50	0.5	FALSE	102191	0.0519018195963197	0.465898456024285	2793	1609	0.046111330712577	9467	28346000	29
20221021 203758	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	212	1	1	1	0.1	50	0.5	FALSE	102191	0.0592585487875307	0.264937859091954	7140	1548	0.0565464789057588	8260	27880000	30
20221021 204113	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	176	1	1	1	0.1	50	0.5	FALSE	102191	0.0803138577727764	0.433639966998156	15	484	3.31753930177176e-05	9038	27604000	31
20221021 204240	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	152	1	1	1	0.1	50	0.5	FALSE	102191	0.0660156930344226	0.77812202914888	5332	1574	0.0553294455309557	8554	28892000	32
20221021 204600	978	162900	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	385	1	1	1	0.1	50	0.5	FALSE	102191	0.022128849898706	0.338471914568124	3693	366	0.0547264973809973	8538	27964000	33
