fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221022 025834	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1153	1	1	1	0.1	50	0.5	FALSE	102191	0.029400087749322	0.780409993568838	5843	379	0.0141078142554411	14819	22522000	24
20221022 025948	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	683	1	1	1	0.1	50	0.5	FALSE	102191	0.0828168390761456	0.250623602335667	2200	1062	0.000851839816003384	13970	21340000	25
20221022 030204	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1410	1	1	1	0.1	50	0.5	FALSE	102191	0.0490172831170633	0.345482512778137	3816	1293	0.00259556555417434	14077	22566000	26
20221022 030249	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	521	1	1	1	0.1	50	0.5	FALSE	102191	0.0736367059946817	0.775353392738803	7353	1454	0.0179977401885072	13371	24218000	27
20221022 030347	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	341	1	1	1	0.1	50	0.5	FALSE	102191	0.061692856172187	0.493556200391473	5156	853	0.0183748106899783	13919	24242000	28
20221022 030645	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1682	1	1	1	0.1	50	0.5	FALSE	102191	0.0674328596093215	0.571766040097829	4755	135	0.00105483329784747	14688	21344000	29
20221022 030931	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1749	1	1	1	0.1	50	0.5	FALSE	102191	0.0526191241030721	0.42013688290217	6703	1166	0.00580336340305842	13972	21656000	30
20221022 031156	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1540	1	1	1	0.1	50	0.5	FALSE	102191	0.0299629143424681	0.693765323011717	2418	1067	0.00146652096599986	14481	23198000	31
20221022 031535	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2860	1	1	1	0.1	50	0.5	FALSE	102191	0.01040463671654	0.216373976380238	5250	1496	0.0125142589215957	16387	22506000	32
20221022 031905	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2520	1	1	1	0.1	50	0.5	FALSE	102191	0.0189062626809755	0.201685513188597	2145	1942	0.00144427586146246	14413	23174000	33
20221022 032013	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	690	1	1	1	0.1	50	0.5	FALSE	102191	0.0546256339955842	0.224324003421236	7882	67	0.0173103644697011	14501	24438000	34
20221022 032115	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	238	1	1	1	0.1	50	0.5	FALSE	102191	0.0303076396182529	0.52282304766383	167	101	0.00693267902398163	15728	21584000	35
20221022 032650	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2062	1	1	1	0.1	50	0.5	FALSE	102191	0.0290275377663923	0.600897747538891	80	1489	6.99979631052503e-07	11743	24354000	36
20221022 032903	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	634	1	1	1	0.1	50	0.5	FALSE	102191	0.0146544895000476	0.537926291234652	1065	780	0.0122923569329687	14032	24336000	37
20221022 033029	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	629	1	1	1	0.1	50	0.5	FALSE	102191	0.0980224032670096	0.521687265568599	2518	972	0.000592575454990901	14712	21936000	38
20221022 033328	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2466	1	1	1	0.1	50	0.5	FALSE	102191	0.0144766715108883	0.209275348680001	7611	1578	0.0155642814948133	15517	22726000	39
20221022 033436	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	762	1	1	1	0.1	50	0.5	FALSE	102191	0.0236764549959439	0.780422794952476	5584	1601	0.015567080928148	16148	22184000	40
20221022 033523	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	308	1	1	1	0.1	50	0.5	FALSE	102191	0.0459702803111565	0.728782440071646	2376	430	0.0117150691067944	15641	22318000	41
20221022 033650	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	654	1	1	1	0.1	50	0.5	FALSE	102191	0.0760285449047515	0.535602783731418	3126	774	0.00357251339586008	12232	22976000	42
20221022 033827	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	755	1	1	1	0.1	50	0.5	FALSE	102191	0.0886649791363126	0.778351544356765	954	1819	2.29025367997428e-06	12635	22970000	43
20221022 034243	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2134	1	1	1	0.1	50	0.5	FALSE	102191	0.0092264937351516	0.507207627748558	3206	553	0.0109741112455852	15981	22598000	44
20221022 034728	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2009	1	1	1	0.1	50	0.5	FALSE	102191	0.0208966531121021	0.547592550112726	945	938	3.32921980272483e-05	14841	21838000	45
20221022 034905	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	508	1	1	1	0.1	50	0.5	FALSE	102191	0.0479968005981576	0.52737959620906	988	1815	0.00107690560080025	13474	22892000	46
20221022 034953	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	243	1	1	1	0.1	50	0.5	FALSE	102191	0.0707592657262425	0.606502824786725	2548	1379	0.0112829120934845	14681	23198000	47
20221022 035030	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	66	1	1	1	0.1	50	0.5	FALSE	102191	0.0809494708373258	0.689951553159487	1011	945	0.0167627584060211	14729	23422000	48
20221022 035155	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	587	1	1	1	0.1	50	0.5	FALSE	102191	0.0943328266942152	0.524821440744819	2072	1793	0.000501172864979737	13738	22284000	49
20221022 035258	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	543	1	1	1	0.1	50	0.5	FALSE	102191	0.0716600542581955	0.366670465878258	7181	1847	0.0132834520632008	16000	21840000	50
20221022 035440	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1452	1	1	1	0.1	50	0.5	FALSE	102191	0.0234329433891422	0.753383861502446	6775	1072	0.0129509354208443	16168	22544000	51
20221022 035600	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	990	1	1	1	0.1	50	0.5	FALSE	102191	0.0262889847031678	0.641776143070636	5564	1499	0.0129872435992218	16507	22026000	52
20221022 040900	978	161342	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1710	1	1	1	0.1	50	0.5	FALSE	102191	0.021042601650327	0.665733137545502	201	1131	2.6431472036831e-06	10779	24442000	53
