fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 035541	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	709	1	1	1	0.1	50	0.5	FALSE	700423	0.022726420477421	0.606650703020324	4092	1835	0.0150193326914665	13793	20014000	24
20221030 041200	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	635	1	1	1	0.1	50	0.5	FALSE	700423	0.0352223426265216	0.345239774240901	4385	1604	0.0117587464634248	13815	19330000	25
20221030 043115	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	636	1	1	1	0.1	50	0.5	FALSE	700423	0.0356553498652595	0.590330183200596	4248	1444	0.0104419141131511	13894	19812000	26
20221030 045254	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	696	1	1	1	0.1	50	0.5	FALSE	700423	0.0295885967674165	0.506929619106698	4124	1755	0.0108111575496929	14830	18660000	27
20221030 053702	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2396	1	1	1	0.1	50	0.5	FALSE	700423	0.018933299733405	0.60545705279694	5877	1662	0.00463332423764869	14190	19300000	28
20221030 055534	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	714	1	1	1	0.1	50	0.5	FALSE	700423	0.0286636403195258	0.601360538326636	4362	1640	0.0132064965480773	13371	20378000	29
20221030 064841	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2113	1	1	1	0.1	50	0.5	FALSE	700423	0.0402923303246971	0.57189589497216	4842	1665	0.00025850067134925	16586	16348000	30
20221030 072215	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1711	1	1	1	0.1	50	0.5	FALSE	700423	0.0305329802175526	0.2642400372431	6377	1645	0.00483255246418487	14717	18406000	31
20221030 073949	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1080	1	1	1	0.1	50	0.5	FALSE	700423	0.108413221796657	0.661261437569978	6959	822	0.000622925391487746	12274	19532000	32
20221030 075007	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	296	1	1	1	0.1	50	0.5	FALSE	700423	0.140496967795495	0.394210508091562	2509	1733	0.000770257006365291	14156	17768000	33
20221030 080410	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	401	1	1	1	0.1	50	0.5	FALSE	700423	0.143046950772656	0.504021562390216	4	951	1.89388835171729e-07	14586	15468000	34
20221030 085008	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1713	1	1	1	0.1	50	0.5	FALSE	700423	0.0312926228375696	0.544840538234057	2654	1606	0.000366817448716354	13591	20098000	35
20221030 090919	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1163	1	1	1	0.1	50	0.5	FALSE	700423	0.0306059754241401	0.630791640321354	6778	1651	0.0113994004780276	12751	19858000	36
20221030 093809	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1049	1	1	1	0.1	50	0.5	FALSE	700423	0.0296425693651281	0.51742535323987	4858	1663	0.00729449579393909	14029	19622000	37
20221030 094940	1264	966008	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	486	1	1	1	0.1	50	0.5	FALSE	700423	0.140685194707343	0.704317390038585	122	1855	2.09664264088405e-07	13944	17552000	38
