"maxdepth","minsplit","minbucket","threshold","y","dob","eol","error.message","exec.time","ei","error.model","train.time","prop.type","propose.time","se","mean"
12,1331,0.128170726740791,0.0538886747807555,20417333.3333333,0,NA,NA,76.296,NA,NA,NA,"initdesign",NA,NA,NA
14,3495,0.254810065416677,0.0426947725882928,18873333.3333333,0,NA,NA,69.186,NA,NA,NA,"initdesign",NA,NA,NA
7,2601,0.36543438769877,0.0624434331836528,20024000,0,NA,NA,49.6619999999999,NA,NA,NA,"initdesign",NA,NA,NA
11,4020,0.375750139537558,0.0756204096408328,13918666.6666667,0,NA,NA,61.509,NA,NA,NA,"initdesign",NA,NA,NA
10,193,0.186724217455776,0.0587148413655814,18036000,0,NA,NA,70.6900000000001,NA,NA,NA,"initdesign",NA,NA,NA
16,2864,0.073201605824579,0.0382887641787238,19786666.6666667,0,NA,NA,83.3100000000001,NA,NA,NA,"initdesign",NA,NA,NA
8,2446,0.216508154451731,0.051257032622816,20352000,0,NA,NA,55.999,NA,NA,NA,"initdesign",NA,NA,NA
5,4235,0.433997340529459,0.0349162097348017,17645333.3333333,0,NA,NA,38.8609999999999,NA,NA,NA,"initdesign",NA,NA,NA
19,2135,0.325644980184734,0.0411527735563868,20265333.3333333,0,NA,NA,73.971,NA,NA,NA,"initdesign",NA,NA,NA
13,3318,0.247834806556057,0.0797818733747408,14574666.6666667,0,NA,NA,70.441,NA,NA,NA,"initdesign",NA,NA,NA
5,1629,0.0176363768841838,0.0654223600195837,18906666.6666667,0,NA,NA,40.2239999999999,NA,NA,NA,"initdesign",NA,NA,NA
19,423,0.0381560160385561,0.0483096596694668,17529333.3333333,0,NA,NA,115.907,NA,NA,NA,"initdesign",NA,NA,NA
16,1038,0.44570976394607,0.0736012579993985,19084000,0,NA,NA,80.049,NA,NA,NA,"initdesign",NA,NA,NA
4,4458,0.490098744194256,0.0702889392345969,14678666.6666667,0,NA,NA,34.3699999999999,NA,NA,NA,"initdesign",NA,NA,NA
18,4859,0.116646113769093,0.0554403858678415,15980000,0,NA,NA,70.3700000000001,NA,NA,NA,"initdesign",NA,NA,NA
9,717,0.289575138427608,0.0315535125028691,18714666.6666667,0,NA,NA,64.7639999999999,NA,NA,NA,"initdesign",NA,NA,NA
11,1680,0.471946189213659,0.055741404612628,19776000,1,NA,NA,68.404,-823864.142096265,NA,0.288000000000011,"infill_ei",0.872000000000071,706093.781875742,21192542.6589577
15,2057,0.246296185200801,0.0567251978888722,20806666.6666667,2,NA,NA,76.019,-295765.844933083,NA,0.103999999999814,"infill_ei",0.796999999999798,620558.457286003,20508408.1467683
20,1498,0.259837849639115,0.0597030652333728,20313333.3333333,3,NA,NA,83.146,-105969.469930085,NA,0.175999999999931,"infill_ei",1.22500000000014,620399.266700104,20439235.8426502
13,1902,0.170306920272313,0.0430485772387266,20845333.3333333,4,NA,NA,80.5509999999999,-85048.0187791624,NA,0.0989999999999327,"infill_ei",0.82100000000014,515577.54434616,20490276.1187785
12,2047,0.178246545097558,0.0328286623745735,19292000,5,NA,NA,75.7190000000001,-87924.381414007,NA,0.127999999999929,"infill_ei",1.18299999999999,640384.224764644,20382071.1198459
16,1930,0.156500302851672,0.0478712868709416,20957333.3333333,6,NA,NA,90.655,-160664.205920095,NA,0.218000000000075,"infill_ei",0.828999999999951,343858.069318399,20889992.0538965
14,1755,0.234132948648876,0.0471579426419114,21188000,7,NA,NA,77.0120000000002,-74196.9779587105,NA,0.106000000000222,"infill_ei",0.945999999999913,270439.515595535,20881525.3034537
3,1534,0.270766774536244,0.0471177669401317,17580000,8,NA,NA,28.2649999999999,-43705.0286342491,NA,0.101999999999862,"infill_ei",0.763999999999669,625282.04979873,20506031.4104202
14,2458,0.311499692797922,0.0468695772499945,20194666.6666667,9,NA,NA,68.826,-93820.8948506778,NA,0.130000000000109,"infill_ei",0.826000000000022,517240.301988802,20900990.4731529
15,1580,0.217691429890893,0.0436488451476711,20677333.3333333,10,NA,NA,80.7289999999998,-103767.540700113,NA,0.110999999999876,"infill_ei",0.855000000000018,354201.22381009,21105244.8083493
14,1797,0.163290985566521,0.0521400885863152,21173333.3333333,11,NA,NA,83.6679999999997,-127351.363940173,NA,0.146999999999935,"infill_ei",0.907000000000153,209408.322308761,21264571.8442713
14,1826,0.227734601791912,0.0496705551853991,21185333.3333333,12,NA,NA,76.5120000000002,-61992.1576564298,NA,0.161999999999807,"infill_ei",0.928000000000338,93318.0772301468,21230082.2075072
14,1766,0.147786931486974,0.0611582822274759,20024000,13,NA,NA,84.3689999999997,-55897.04391839,NA,0.144999999999982,"infill_ei",0.936999999999898,360480.207170969,20953254.6199756
13,1794,0.0109778746451043,0.0477359791274612,18762666.6666667,14,NA,NA,84.9699999999998,-77091.1182956708,NA,0.161999999999807,"infill_ei",0.86200000000008,366550.62044878,21019265.7498321
13,1750,0.232058806303956,0.0534420885646221,20657333.3333333,15,NA,NA,78.0330000000004,-119173.42124268,NA,0.155999999999949,"infill_ei",0.952999999999975,222031.714676757,21243654.6942528
18,1810,0.369280641620116,0.0522804053703957,20312000,16,NA,NA,72.4250000000002,-118926.210877442,NA,0.118999999999687,"infill_ei",0.940000000000055,781197.039140576,20670645.8878657
14,2073,0.18744002786099,0.0479768691981575,20969333.3333333,17,NA,NA,77.6860000000001,-175039.219360818,NA,0.0900000000001455,"infill_ei",0.924999999999727,258639.823763219,21309392.1479408
15,1863,0.253068082438956,0.0469704180179117,21284000,18,NA,NA,78.5839999999998,-104701.569727528,NA,0.108999999999924,"infill_ei",0.896999999999935,187382.929246973,21241777.856653
20,1853,0.247191874191576,0.0489926969813655,21173333.3333333,19,NA,NA,78.154,-75340.5769212494,NA,0.196000000000367,"infill_ei",0.884999999999764,525960.883412975,20916618.5244557
17,1823,0.241178355761804,0.0474925979754203,21362666.6666667,20,NA,NA,79.4409999999998,-58756.38976674,NA,0.184999999999945,"infill_ei",0.951999999999771,152071.815259464,21280137.898205
19,2173,0.477445436975329,0.061807274779868,19638666.6666667,21,NA,NA,68.3109999999997,-40784.5207702886,NA,0.166000000000167,"infill_ei",0.885000000000218,1042912.62992559,19933230.7226852
10,2619,0.1230259238464,0.0563248266354225,20432000,22,NA,NA,67.0130000000004,-25020.4273096208,NA,0.184000000000196,"infill_ei",0.951000000000022,763174.744239183,20255767.6173244
18,1856,0.23527472267648,0.0457901468953512,21284000,23,NA,NA,83.5210000000002,-32559.8765684417,NA,0.100999999999658,"infill_ei",0.883000000000266,159213.432415888,21286479.4172703
20,998,0.499032725563529,0.046504123693546,20320000,24,NA,NA,80.989,-14852.1937206773,NA,0.175000000000182,"infill_ei",0.902999999999793,1235727.62399923,19054784.3290111
16,1800,0.499845588067651,0.0426979875296948,19218666.6666667,25,NA,NA,70.8220000000001,-28013.5922627521,NA,0.157000000000153,"infill_ei",0.945999999999913,887499.874970906,20060473.5306738
